Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
302308;;;Інтерфейс;Бездротовий
302308;;;Інтерфейс;Провідний
302308;;;Інтерфейс;Провідний/Бездротовий
302308;;;Радіус дії (м);Введіть число. Число повинно бути від 0 до 100000
302308;;;Робоча частота (МГц);Введіть число. Число повинно бути від 0 до 10000
302308;;;Живлення;PoE
302308;;;Живлення;USB
302308;;;Живлення;Акумулятор
302308;;;Живлення;Батарейки акумуляторного типу
302308;;;Живлення;Батарейки одноразові
302308;;;Живлення;Мережа 110В
302308;;;Живлення;Мережа 12В
302308;;;Живлення;Мережа 220В
302308;;;Живлення;Мережа 24В
302308;;;Живлення;Сонячні батареї
302308;;;Додаткове джерело живлення;Мережа 12В
302308;;;Додаткове джерело живлення;Мережа 110В
302308;;;Додаткове джерело живлення;Мережа 220В
302308;;;Додаткове джерело живлення;Батарейки одноразові
302308;;;Додаткове джерело живлення;Батарейки акумуляторного типу
302308;;;Додаткове джерело живлення;Сонячні батареї
302308;;;Додаткове джерело живлення;Акумулятор
302308;;;Додаткове джерело живлення;Мережа 24В
302308;;;Додаткове джерело живлення;PoE
302308;;;Напруга (В);Введіть число. Число повинно бути від 0 до 380
302308;;;Живлення в режимі очікування (мА);Введіть число. Число повинно бути від 0 до 5000
302308;;;Живлення в режимі тривоги (мА);Введіть число. Число повинно бути від 0 до 5000
302308;;;Контроль розряду;Так
302308;;;Контроль розряду;Ні
302308;;;Аварійне підживлення;Так
302308;;;Аварійне підживлення;Ні
302308;;;Матеріал;Комбінований
302308;;;Матеріал;Метал
302308;;;Матеріал;Пластмаса
302308;;;Колір;Бежевий
302308;;;Колір;Білий
302308;;;Колір;Бірюзовий
302308;;;Колір;Бордовий
302308;;;Колір;Блакитний
302308;;;Колір;Жовтий
302308;;;Колір;Зелений
302308;;;Колір;Золотистий
302308;;;Колір;Коричневий
302308;;;Колір;Червоний
302308;;;Колір;Помаранчевий
302308;;;Колір;Різні кольори
302308;;;Колір;Рожевий
302308;;;Колір;Салатний
302308;;;Колір;Сірий
302308;;;Колір;Синій
302308;;;Колір;Теракотовий
302308;;;Колір;Фіолетовий
302308;;;Колір;Фуксія
302308;;;Колір;Хакі
302308;;;Колір;Чорний
302308;;;Захист обладнання від води і пилу IP;IP10
302308;;;Захист обладнання від води і пилу IP;IP11
302308;;;Захист обладнання від води і пилу IP;IP12
302308;;;Захист обладнання від води і пилу IP;IP13
302308;;;Захист обладнання від води і пилу IP;IP14
302308;;;Захист обладнання від води і пилу IP;IP15
302308;;;Захист обладнання від води і пилу IP;IP16
302308;;;Захист обладнання від води і пилу IP;IP17
302308;;;Захист обладнання від води і пилу IP;IP18
302308;;;Захист обладнання від води і пилу IP;IP19
302308;;;Захист обладнання від води і пилу IP;IP20
302308;;;Захист обладнання від води і пилу IP;IP21
302308;;;Захист обладнання від води і пилу IP;IP22
302308;;;Захист обладнання від води і пилу IP;IP23
302308;;;Захист обладнання від води і пилу IP;IP24
302308;;;Захист обладнання від води і пилу IP;IP25
302308;;;Захист обладнання від води і пилу IP;IP26
302308;;;Захист обладнання від води і пилу IP;IP27
302308;;;Захист обладнання від води і пилу IP;IP28
302308;;;Захист обладнання від води і пилу IP;IP29
302308;;;Захист обладнання від води і пилу IP;IP30
302308;;;Захист обладнання від води і пилу IP;IP31
302308;;;Захист обладнання від води і пилу IP;IP32
302308;;;Захист обладнання від води і пилу IP;IP33
302308;;;Захист обладнання від води і пилу IP;IP34
302308;;;Захист обладнання від води і пилу IP;IP35
302308;;;Захист обладнання від води і пилу IP;IP36
302308;;;Захист обладнання від води і пилу IP;IP37
302308;;;Захист обладнання від води і пилу IP;IP38
302308;;;Захист обладнання від води і пилу IP;IP39
302308;;;Захист обладнання від води і пилу IP;IP40
302308;;;Захист обладнання від води і пилу IP;IP41
302308;;;Захист обладнання від води і пилу IP;IP42
302308;;;Захист обладнання від води і пилу IP;IP43
302308;;;Захист обладнання від води і пилу IP;IP44
